tract,race_percent_white,race_percent_black,race_percent_native,race_percent_asian,race_percent_pacific_islander,race_percent_hispanic,race_percent_other,income_percent_below_15K,income_percent_15K_35K,income_percent_35K_65K,income_percent_above_65K,year
"Census Tract 4480, Allegheny County, Pennsylvania",87.6,4.5,0.0,1.8,0.0,1.7000000000000028,0.3,28.0,32.1,23.6,10.5,2014
"Census Tract 4490, Allegheny County, Pennsylvania",94.9,2.9,0.0,0.9,0.0,0.5,0.1,22.5,32.2,24.1,13.5,2014
"Census Tract 4507, Allegheny County, Pennsylvania",81.1,8.9,0.0,0.7,0.0,0.8000000000000114,1.3,31.0,31.6,26.200000000000003,7.4,2014
"Census Tract 4508, Allegheny County, Pennsylvania",69.9,18.8,0.0,0.0,0.0,3.1999999999999886,0.0,34.5,31.9,18.6,5.699999999999999,2014
"Census Tract 4511.01, Allegheny County, Pennsylvania",96.5,1.6,0.1,0.4,0.0,0.0,0.0,24.6,19.9,20.9,23.9,2014
"Census Tract 4511.02, Allegheny County, Pennsylvania",82.2,7.0,0.3,5.1,0.0,1.2999999999999972,0.2,36.0,20.1,20.6,13.100000000000001,2014
"Census Tract 4511.04, Allegheny County, Pennsylvania",90.8,4.4,0.0,1.0,0.0,2.4000000000000057,1.0,17.5,15.7,28.299999999999997,24.900000000000002,2014
"Census Tract 4511.05, Allegheny County, Pennsylvania",82.6,4.5,0.0,6.1,0.0,5.800000000000011,1.1,28.0,26.9,26.299999999999997,14.4,2014
"Census Tract 4513, Allegheny County, Pennsylvania",89.9,3.7,0.0,4.1,0.0,1.1999999999999886,0.0,23.1,21.1,18.1,28.1,2014
"Census Tract 4520, Allegheny County, Pennsylvania",92.6,3.8,0.4,0.0,0.0,0.10000000000000853,1.5,22.4,23.3,25.3,19.4,2014
"Census Tract 4530.03, Allegheny County, Pennsylvania",92.9,0.3,0.3,4.5,0.0,1.6999999999999886,0.0,22.8,28.1,24.6,14.2,2014
"Census Tract 4530.04, Allegheny County, Pennsylvania",92.0,1.9,0.0,1.3,0.0,2.9000000000000057,0.0,19.8,20.6,27.3,25.2,2014
"Census Tract 4550, Allegheny County, Pennsylvania",97.9,0.4,0.1,0.0,0.0,0.19999999999998863,0.9,21.1,35.400000000000006,23.4,12.6,2014
