,tract,total,male_percent,female_percent,disability_percent,male_disability_percent,female_disability_percent,year
138,"Census Tract 4291, Allegheny County, Pennsylvania",2525,0.49465346534653465,0.5053465346534654,0.1699009900990099,0.09227722772277228,0.07762376237623762,2013
139,"Census Tract 4292.01, Allegheny County, Pennsylvania",4252,0.4905926622765757,0.5094073377234243,0.09571966133584196,0.04586077140169332,0.04985888993414864,2013
140,"Census Tract 4292.02, Allegheny County, Pennsylvania",4476,0.45196604110813227,0.5480339588918678,0.09606791778373548,0.04177837354781055,0.054289544235924934,2013
141,"Census Tract 4293, Allegheny County, Pennsylvania",5038,0.4390631202858277,0.5609368797141723,0.1038110361254466,0.045454545454545456,0.05835649067090115,2013
142,"Census Tract 4294, Allegheny County, Pennsylvania",4459,0.4924871047320027,0.5075128952679973,0.10047095761381476,0.041040592061000226,0.05943036555281453,2013
143,"Census Tract 4295, Allegheny County, Pennsylvania",4105,0.48282582216808767,0.5171741778319123,0.17198538367844093,0.06650426309378807,0.10548112058465287,2013
144,"Census Tract 4296, Allegheny County, Pennsylvania",3392,0.4528301886792453,0.5471698113207547,0.07753537735849056,0.03567216981132076,0.04186320754716981,2013
145,"Census Tract 4297, Allegheny County, Pennsylvania",2378,0.46888141295206054,0.5311185870479395,0.12321278385197645,0.030277544154751892,0.09293523969722456,2013
146,"Census Tract 4301, Allegheny County, Pennsylvania",1967,0.47330960854092524,0.5266903914590747,0.13268937468225725,0.08947635993899339,0.043213014743263854,2013
147,"Census Tract 4302, Allegheny County, Pennsylvania",4785,0.4971786833855799,0.5028213166144201,0.09968652037617555,0.049947753396029256,0.04973876698014629,2013
148,"Census Tract 4311, Allegheny County, Pennsylvania",3237,0.4538152610441767,0.5461847389558233,0.09391411801050355,0.047574915044794566,0.04633920296570899,2013
149,"Census Tract 4314, Allegheny County, Pennsylvania",1867,0.45045527584359935,0.5495447241564007,0.10283877878950187,0.0385645420460632,0.06427423674343867,2013
150,"Census Tract 4315, Allegheny County, Pennsylvania",3245,0.48351309707241913,0.5164869029275809,0.1633281972265023,0.07827426810477658,0.08505392912172573,2013
151,"Census Tract 4323, Allegheny County, Pennsylvania",2027,0.3926985693142575,0.6073014306857425,0.22348297977306364,0.06808090774543661,0.15540207202762704,2013
152,"Census Tract 4324, Allegheny County, Pennsylvania",2615,0.4891013384321224,0.5108986615678777,0.14416826003824093,0.06921606118546846,0.07495219885277246,2013
153,"Census Tract 4340, Allegheny County, Pennsylvania",1690,0.4757396449704142,0.5242603550295858,0.07928994082840236,0.0485207100591716,0.03076923076923077,2013
154,"Census Tract 4350, Allegheny County, Pennsylvania",2416,0.5248344370860927,0.47516556291390727,0.11920529801324503,0.07119205298013245,0.048013245033112585,2013
155,"Census Tract 4370, Allegheny County, Pennsylvania",5186,0.4701118395680679,0.5298881604319321,0.0499421519475511,0.024103355187042035,0.025838796760509063,2013
156,"Census Tract 4390, Allegheny County, Pennsylvania",1405,0.5209964412811388,0.4790035587188612,0.08540925266903915,0.04697508896797153,0.038434163701067614,2013
